,VOLUME,OPEN,HIGH,LOW,CLOSE
15/04/1993,148600,44.90640342,45.03138939,44.75001493,44.93757728
16/04/1993,47900,44.96877647,45.03119006,44.87497657,44.93734514
19/04/1993,157000,44.93760607,45.06254106,44.71874755,44.75003799
20/04/1993,279500,44.68734734,44.75025335,44.24988165,44.53121348
21/04/1993,67900,44.6249562,44.62495961,44.37490882,44.50026505
22/04/1993,97700,44.31248294,44.6873605,43.93743163,43.93752065
23/04/1993,106000,43.84375787,43.96895067,43.68759736,43.75004156
26/04/1993,62600,43.78138658,43.93751729,43.28119714,43.40618514
27/04/1993,156800,43.3438068,43.87502901,43.34383707,43.87508736
28/04/1993,85900,43.81267922,43.90634908,43.7189227,43.78121758
29/04/1993,85000,43.87491155,43.96882415,43.62517956,43.96874122
30/04/1993,88500,44.12506736,44.28138381,44.03128358,44.03116542
03/05/1993,80500,43.99996668,44.31231103,43.90612275,44.3127163
04/05/1993,149100,44.40646264,44.62505789,44.3438528,44.46888784
05/05/1993,109000,44.46890165,44.75005409,44.46875046,44.5937759
06/05/1993,54700,44.53134359,44.56252802,44.40625019,44.43771424
07/05/1993,68000,44.46880582,44.46886621,44.28150469,44.34399231
10/05/1993,113900,44.40632694,44.68748271,44.40634792,44.43755813
11/05/1993,42600,44.43742135,44.62483471,44.31248333,44.62499861
12/05/1993,31000,44.43748778,44.59380294,44.43749962,44.56228517
13/05/1993,129100,44.37505049,44.37493655,44.00005944,44.03136429
14/05/1993,63500,44.03124952,44.15613795,43.96869028,43.99996377
17/05/1993,34000,44.12487076,44.15630397,43.93760317,44.1562538
18/05/1993,105200,44.18762437,44.21878047,43.96874923,44.12497785
19/05/1993,50200,44.12512039,45.03126117,43.84385513,45.03134045
20/05/1993,98200,45.03135078,45.1562926,44.93767256,45.15634778
21/05/1993,221400,45.18763583,45.24991632,44.71886689,44.74988197
24/05/1993,30500,44.84401025,45.09377045,44.84386099,44.9374838
25/05/1993,191800,45.12506728,45.12500229,45.03131864,45.03123313
26/05/1993,102400,45.18774513,45.62497353,45.12520473,45.59382789
27/05/1993,53800,45.65640183,45.65637472,45.37508801,45.43744444
28/05/1993,79100,45.4062408,45.4062626,45.00002343,45.21856941
31/05/1993,,,,,
01/06/1993,28300,45.37508914,45.8124498,268.5460995,45.65635721
02/06/1993,20300,45.53136461,45.74997663,45.34382445,45.59375979
03/06/1993,21600,45.50008236,45.50013113,45.34374326,45.43741991
04/06/1993,32000,45.31253625,45.31267767,45.09393114,45.28144008
07/06/1993,121400,45.37518793,45.37500915,45.12501521,45.12498776
08/06/1993,104500,44.99989222,45.00008715,44.71900927,44.71878941
09/06/1993,43300,44.87490347,45.0623291,44.81261281,44.87494936
10/06/1993,17900,44.84394702,44.93737122,44.75013541,44.90627644
11/06/1993,647400,45.06249918,45.1563994,44.90621426,45.09390495
14/06/1993,64200,45.15613063,45.18726924,45.03114092,45.03123956
15/06/1993,142400,45.09387208,45.12514861,44.93745879,44.93744852
16/06/1993,330900,44.93763706,45.0313294,44.81249234,45.03152809
17/06/1993,37400,45.12498662,45.18746756,45.03137834,45.18741559
18/06/1993,58500,44.84379661,44.84379052,44.50005784,44.49996965
21/06/1993,29300,44.62500233,44.6250803,44.53123726,44.59374899
22/06/1993,137500,44.65634815,44.65630868,44.56267973,44.62500846
23/06/1993,227600,44.62495617,44.62513844,44.40638716,44.43780814
24/06/1993,243700,44.34383287,44.81234883,44.34388802,44.81266218
25/06/1993,44800,44.7813348,44.90616753,44.74993395,44.78135094
28/06/1993,439900,45.0000368,45.28148761,44.93734974,45.28113704
29/06/1993,207500,45.21881392,45.21868975,44.99999661,45.06255329
30/06/1993,437600,45.12513968,45.21882832,45.0000499,45.06258009
01/07/1993,605700,45.12497893,45.12501907,44.87492074,44.93767843
02/07/1993,285400,44.78124205,44.81256111,44.53132143,44.68739986
05/07/1993,,,,,
06/07/1993,246600,44.62476977,44.74992607,44.15637353,44.21882003
07/07/1993,343700,44.18751463,44.40638516,44.18736846,44.34378656
08/07/1993,248200,44.37498553,44.93742086,44.31261095,44.84373228
09/07/1993,378200,44.84371311,44.96885549,44.74988642,44.9688094
12/07/1993,373700,44.90639066,44.96897657,44.84375895,44.93732368
13/07/1993,389600,44.96877106,45.09388137,44.65621457,44.90638297
